ensembl_gene_id,shCon,shMLL1,shNRF2,shUTX
ENSG00000135898,0.363698052,2.17333514,0.538174699,1.727255234
ENSG00000135903,1.273473715,-2.680284941,2.416976153,1.727255234
ENSG00000135905,7.530489529,7.382810209,6.302529685,7.14917537
ENSG00000135916,3.329083096,2.564468793,2.599454345,1.135834808
ENSG00000135917,4.317841306,4.587142214,4.891362121,4.854087672
ENSG00000135930,10.8299728,11.02109211,10.96874391,11.03072349
ENSG00000135931,6.032420016,6.087549683,6.167415139,5.42091341
ENSG00000135945,2.466465346,3.1708481,3.790492151,2.469366435
ENSG00000135951,0.195827878,1.265176444,2.4927588,1.360998452
ENSG00000135953,-2.680284941,-2.680284941,-2.680284941,-1.549634774
ENSG00000135968,1.273473715,1.265176444,1.532202963,1.644034816
ENSG00000135976,4.085366273,4.535645827,3.986730163,3.88921133
ENSG00000135999,4.444986897,4.903815408,4.481177867,4.797445131
ENSG00000136002,6.597407002,7.150081886,7.290525093,7.25287486
ENSG00000136003,-2.680284941,-2.680284941,-1.736849044,-2.680284941
ENSG00000136010,-1.749770001,-1.194443566,-2.680284941,-0.488494342
ENSG00000136014,2.502895473,2.899285086,3.90587315,3.942426746
ENSG00000136040,2.734999946,3.193177618,2.666438727,2.420191132
ENSG00000136044,1.35544935,-0.220325737,0.387495308,0.344290701
ENSG00000136045,2.704042166,2.420477736,2.208029079,2.261729738
ENSG00000136051,4.024019942,4.388595917,3.453786283,3.566563146
ENSG00000136068,9.074734809,9.48013647,9.821075998,10.04204872
ENSG00000136098,0.650210595,1.085847204,1.11915879,1.008537644
ENSG00000136110,-2.680284941,-2.680284941,-1.736849044,-0.923625457
ENSG00000136114,0.995240859,0.642223487,0.387495308,1.008537644
ENSG00000136141,3.40804233,3.399301664,2.666438727,5.773951573
ENSG00000136143,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000136144,2.089102212,1.498242034,2.208029079,2.08369099
ENSG00000136146,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000136147,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000136152,-0.47119825,-0.478146429,-0.190866838,-0.923625457
ENSG00000136153,6.622457906,6.788779351,6.164521549,7.065696556
ENSG00000136155,4.387693119,4.692785761,5.056547521,4.70807985
ENSG00000136160,0.363698052,1.085847204,2.416976153,2.019103039
ENSG00000136161,2.538428299,1.981399858,2.115169379,2.73368438
ENSG00000136193,0.005820428,0.35590515,-1.736849044,0.541130891
ENSG00000136205,1.35544935,-0.220325737,1.11915879,-0.923625457
ENSG00000136206,1.094068462,0.98706569,1.532202963,0.116285753
ENSG00000136213,8.632608765,8.851399884,8.619535915,9.051374487
ENSG00000136231,5.599729532,5.7079445,5.826635125,6.580941623
ENSG00000136235,0.889142228,1.63502399,1.602307305,1.008537644
ENSG00000136237,3.748659387,4.256992536,4.804810508,4.590758176
ENSG00000136240,5.090738828,5.293049947,5.423850065,5.734265619
ENSG00000136243,3.201898197,3.418382531,3.355717124,3.632813582
ENSG00000136250,-2.680284941,-2.680284941,-1.171245043,-1.549634774
ENSG00000136261,5.975226239,6.387793018,6.376914089,6.424531729
ENSG00000136270,6.726250054,6.341060822,6.273280371,6.304329822
ENSG00000136271,-2.680284941,-0.792289112,-2.680284941,-1.549634774
ENSG00000136274,-0.785809199,0.766556945,0.028700556,-0.923625457
ENSG00000136279,3.223889649,3.562572738,3.272160129,3.632813582
ENSG00000136280,-0.21306264,-0.220325737,-1.736849044,-0.154643054
ENSG00000136286,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000136295,6.019904794,5.819805375,6.077978649,5.323982704
ENSG00000136367,7.871676477,8.05184823,7.926303076,8.061853428
ENSG00000136378,6.823073599,7.382810209,7.605246635,7.809568352
ENSG00000136381,0.514055174,-0.001668967,-0.449955477,0.344290701
ENSG00000136383,4.50907498,4.628694822,4.227570295,4.059456256
ENSG00000136404,-2.680284941,-2.680284941,-1.736849044,-2.680284941
ENSG00000136436,1.989921838,2.631410723,2.5292078,3.209410607
ENSG00000136444,-2.680284941,-2.680284941,-1.736849044,-2.680284941
ENSG00000136448,-0.785809199,-1.194443566,1.020192133,-1.549634774
ENSG00000136450,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000136451,-0.785809199,-0.001668967,-0.765985083,0.714310345
ENSG00000136485,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000136492,8.133679737,8.167025191,7.88207132,7.774536292
ENSG00000136504,-2.680284941,-2.680284941,-2.680284941,-1.549634774
ENSG00000136541,-2.680284941,-2.680284941,-1.736849044,-2.680284941
ENSG00000136542,-0.21306264,-0.792289112,-1.736849044,-1.549634774
ENSG00000136546,6.503890952,6.539285215,6.875082013,6.578142124
ENSG00000136560,3.733409383,4.08853827,4.39492579,4.952486918
ENSG00000136574,9.044547037,8.933274213,9.036014381,8.355482202
ENSG00000136603,-2.680284941,-2.680284941,-1.736849044,-1.549634774
ENSG00000136628,-2.680284941,-0.792289112,-2.680284941,-2.680284941
ENSG00000136631,4.985251553,4.805783089,4.973013818,4.917476963
ENSG00000136634,7.477699531,7.106628757,7.236438818,7.233434586
ENSG00000136643,3.702417083,4.500264503,4.40476798,4.666512918
ENSG00000136682,7.402560757,7.176940315,7.359201837,6.82244848
ENSG00000136689,1.506624973,1.424659038,1.669162374,2.516920666
ENSG00000136694,2.794991163,3.66198192,3.615082445,4.059456256
ENSG00000136695,0.774617096,0.35590515,0.028700556,0.541130891
ENSG00000136696,-1.749770001,-1.753980055,-2.680284941,-0.154643054
ENSG00000136699,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000136709,0.005820428,-0.478146429,-0.765985083,-0.488494342
ENSG00000136715,4.317841306,3.709230505,3.56329519,4.401031833
ENSG00000136731,3.445958386,3.029086574,3.355717124,1.880546451
ENSG00000136738,-0.47119825,-0.478146429,-0.190866838,0.116285753
