ensembl_gene_id,SYMBOL,logFC,logCPM,PValue,FDR,ROS hallmark
ENSG00000163995,ABLIM2,-0.572014037,-0.637363572,0.475023184,0.664553461,
ENSG00000171243,SOSTDC1,-0.572014037,-0.980573752,0.475023184,0.664553461,
ENSG00000172340,SUCLG2,-0.572014037,-0.679400619,0.475023184,0.664553461,
ENSG00000172367,PDZD3,-0.572014037,-0.553097577,0.475023184,0.664553461,
ENSG00000180116,C12orf40,-0.572014037,-0.776102542,0.475023184,0.664553461,
ENSG00000182372,CLN8,-0.572014037,-0.43008581,0.475023184,0.664553461,
ENSG00000183779,ZNF703,-0.572014037,-0.823474496,0.475023184,0.664553461,
ENSG00000183978,COA3,-0.572014037,-0.088769065,0.475023184,0.664553461,
ENSG00000184517,ZFP1,-0.572014037,-0.554650847,0.475023184,0.664553461,
ENSG00000184956,MUC6,-0.572014037,-0.926979292,0.475023184,0.664553461,
ENSG00000185245,GP1BA,-0.572014037,-0.926562161,0.475023184,0.664553461,
ENSG00000187109,NAP1L1,-0.572014037,0.231961874,0.475023184,0.664553461,
ENSG00000187682,ERAS,-0.572014037,-0.092077962,0.475023184,0.664553461,
ENSG00000211455,STK38L,-0.572014037,-0.469800774,0.475023184,0.664553461,
ENSG00000223953,C1QTNF5,-0.572014037,0.122285479,0.475023184,0.664553461,
ENSG00000164967,RPP25L,-0.572310636,5.874475882,3.11E-15,4.12E-14,
ENSG00000254521,SIGLEC12,-0.572511932,5.831185597,3.95E-14,4.71E-13,
ENSG00000137440,FGFBP1,-0.574401582,5.525383163,2.97E-09,2.28E-08,
ENSG00000100393,EP300,-0.575010638,5.174005626,2.88E-10,2.45E-09,
ENSG00000163644,PPM1K,-0.575733748,2.486905888,0.04450379,0.104069484,
ENSG00000130702,LAMA5,-0.577034655,8.418844418,7.41E-26,2.02E-24,
ENSG00000166337,TAF10,-0.577557991,2.17551425,0.032902095,0.08172618,
ENSG00000204138,PHACTR4,-0.577745919,4.294254339,6.97E-06,3.74E-05,
ENSG00000185955,C7orf61,-0.579134907,5.719594517,4.10E-13,4.49E-12,
ENSG00000185201,IFITM2,-0.58052324,7.790230429,5.95E-29,2.04E-27,
ENSG00000130349,MTRES1,-0.58113866,3.830017349,5.62E-05,0.000262665,
ENSG00000047365,ARAP2,-0.581170375,3.434372434,0.000835972,0.003251476,
ENSG00000163635,ATXN7,-0.581473895,6.789295977,3.47E-27,1.01E-25,
ENSG00000154237,LRRK1,-0.581481085,3.878281097,4.28E-05,0.000203761,
ENSG00000173404,INSM1,-0.581877117,4.279965699,1.76E-06,1.01E-05,
ENSG00000197410,DCHS2,-0.582117543,3.00099143,0.010166636,0.030445046,
ENSG00000155530,LRGUK,-0.582172168,7.321271649,8.25E-34,3.69E-32,
ENSG00000079999,KEAP1,-0.582195309,0.475523273,0.311548586,0.472626328,
ENSG00000116691,MIIP,-0.582195309,0.463719325,0.311548586,0.472626328,
ENSG00000127324,TSPAN8,-0.582195309,0.677587869,0.311548586,0.472626328,
ENSG00000166317,SYNPO2L,-0.582195309,-0.18736314,0.311548586,0.472626328,
ENSG00000171119,NRTN,-0.582195309,0.049393782,0.311548586,0.472626328,
ENSG00000173786,CNP,-0.582195309,0.672677138,0.311548586,0.472626328,
ENSG00000178445,GLDC,-0.582195309,0.588924053,0.311548586,0.472626328,
ENSG00000182854,OR4F15,-0.582195309,0.053117466,0.311548586,0.472626328,
ENSG00000277775,H3C7,-0.582195309,-0.326760626,0.311548586,0.472626328,
ENSG00000130545,CRB3,-0.582620466,6.221237636,2.64E-17,4.09E-16,
ENSG00000274570,SPDYE10,-0.582906049,7.270064586,2.29E-28,7.40E-27,
ENSG00000166959,MS4A8,-0.582963676,7.077189387,2.68E-26,7.51E-25,
ENSG00000149923,PPP4C,-0.584380042,11.36249247,4.41E-27,1.28E-25,
ENSG00000170776,AKAP13,-0.584426668,4.679066297,1.70E-06,9.74E-06,
ENSG00000088836,SLC4A11,-0.584604111,4.341362928,1.30E-06,7.56E-06,
ENSG00000074842,MYDGF,-0.585181305,8.341710596,2.48E-27,7.32E-26,
ENSG00000034053,APBA2,-0.585671197,1.409299387,0.214923069,0.340336672,
ENSG00000103248,MTHFSD,-0.585671197,0.313747512,0.214923069,0.340336672,
ENSG00000198542,ITGBL1,-0.587424967,1.204467583,0.152025635,0.254218579,
ENSG00000178913,TAF7,-0.587929443,5.470180266,4.02E-13,4.40E-12,
ENSG00000163218,PGLYRP4,-0.588190106,8.027066792,2.81E-26,7.88E-25,
ENSG00000123124,WWP1,-0.58848235,1.397833844,0.109206587,0.222721466,
ENSG00000103257,SLC7A5,-0.588498425,3.651616346,3.98E-05,0.0001899,
ENSG00000137100,DCTN3,-0.588673638,6.798006576,1.17E-31,4.61E-30,
ENSG00000261949,GFY,-0.588738109,5.693584876,1.67E-15,2.24E-14,
ENSG00000063177,RPL18,-0.5890729,5.376164933,3.87E-13,4.25E-12,
ENSG00000275572,GRIFIN,-0.589189418,2.148512668,0.079283683,0.17236013,
ENSG00000164022,AIMP1,-0.589613563,6.82064628,5.39E-28,1.69E-26,
ENSG00000122406,RPL5,-0.589695522,2.026027443,0.058009977,0.132456294,
ENSG00000178814,OPLAH,-0.589695522,2.260848335,0.058009977,0.132456294,
ENSG00000086015,MAST2,-0.590044893,8.13665623,8.44E-29,2.85E-27,
ENSG00000198624,CCDC69,-0.590198655,8.461111889,2.70E-25,7.09E-24,
ENSG00000161914,ZNF653,-0.590371701,1.99331154,0.031580879,0.080223219,
ENSG00000104904,OAZ1,-0.590471444,11.1710525,1.89E-27,5.65E-26,
ENSG00000288675,PANO1,-0.591558805,3.200318424,0.002360292,0.008374545,
ENSG00000104964,TLE5,-0.591973256,9.637514892,1.02E-27,3.12E-26,
ENSG00000145244,CORIN,-0.592337609,4.197031709,2.36E-07,1.50E-06,
ENSG00000167281,RBFOX3,-0.592666791,6.801704787,1.88E-30,7.09E-29,
ENSG00000170465,KRT6C,-0.593452209,6.185599461,1.65E-17,2.60E-16,
ENSG00000138758,SEPTIN11,-0.593650111,6.981959134,1.90E-27,5.66E-26,
