Symbol,O_Con,O_NFIB,O_MLL1,A_Con,A_NFIB,A_MLL1,NFIB,H3K4me3,TF,Adipo,Osteo,Cluster
Gnpat,0.489367752,6.415278598,-0.165536664,1.625600743,-2.13528448,-1.638674468,1.437523106,1.271659063,0,0,0,cluster3
Gp1bb,1.370591667,-1.561089188,-0.001237386,2.429713469,-0.707341416,-1.252754618,1.144620388,5.065846186,0,0,0,cluster3
Gp5,2.435449547,-0.854252752,-1.32062202,2.219146494,-0.634277954,-1.527614457,0.859047421,0,0,0,0,cluster1
Gpat3,-0.210197768,3.256347591,-1.074435677,2.38620615,-3.019977908,-2.298925799,1.456001664,1.268317362,0,0,0,cluster3
Gpd1,5.408297633,3.214368993,-2.64998308,7.658136304,-7.073267775,-6.703569875,0,0,0,0,0,cluster2
Gpm6b,2.211489466,5.136103472,-0.997785261,6.80173808,-2.563097891,-2.788277961,2.288194674,3.178570156,0,0,0,cluster3
Gpt,0.98166265,3.023373716,-0.372318425,2.86245297,-3.540618846,-3.042187632,0,1.340959285,0,0,0,cluster3
Gpx4,1.872316743,9.639586196,-1.520615046,0.704200569,-0.949591514,-0.835861024,1.580934502,1.035443308,0,0,0,cluster1
Gramd1c,1.745857935,2.418720631,-1.100609213,1.929639866,-0.062735969,-1.149102836,1.548888532,1.155843693,0,0,0,cluster1
Grhl1,1.819772054,-0.931280796,-1.94257685,3.996754061,-2.189493111,-3.404757712,1.286925447,1.303710416,0,0,0,cluster1
Gstm1,1.778469091,7.803988603,-1.596520198,1.826745413,-1.968396978,-1.134410629,1.566691849,2.681918569,0,0,0,cluster3
Gstz1,0.345636939,6.237554975,-0.163462366,1.440994095,-1.130725289,-1.09833071,1.922758178,1.217299072,0,0,0,cluster3
Hacd2,1.600566737,5.721542368,-0.375084386,2.380897553,-1.449853383,-1.724011672,1.917136078,1.580389826,0,0,0,cluster3
Hic1,2.315499916,0.488053961,-1.077134366,1.961988643,-2.184475035,-1.114337419,1.556106093,0.657016196,1,0,0,cluster1
Hp,4.146470557,6.351565823,-1.10827315,7.660790288,-5.117228732,-5.729682832,2.473723972,1.528823146,0,0,0,cluster3
Hvcn1,1.561652643,0.843307223,-1.979365562,1.129061353,-1.217382508,-1.232709539,1.265404955,0,0,0,0,cluster2
Hyal1,1.645221748,2.507778511,0.392502676,2.214934232,-2.659813046,-1.290115146,0,1.282264097,0,0,0,cluster3
Igf1,1.380408491,4.39648051,-6.366726957,4.832229048,1.767887256,-1.480772466,3.720893141,0,0,0,1,cluster1
Igf2,3.41849423,-1.603128299,-4.924326813,3.935353516,-0.618681098,-2.980787088,1.690880837,0,0,0,1,cluster2
Igfals,3.473045496,0.339954313,-1.986630774,2.935353521,-3.350484984,-2.980787091,1.386123975,0,0,0,0,cluster1
Igfbp3,1.656904217,1.300791931,-1.909629612,1.743200709,-6.666126816,0.60845654,2.676431909,0.240928855,0,0,1,cluster1
Igfbp5,2.035050113,3.697263288,-1.785127911,8.193879723,-9.778936193,-4.834329461,1.175018887,4.767855234,0,0,1,cluster2
Il1rn,0.072088012,10.05123758,-1.673003709,3.311254348,-1.635241342,-1.405004099,0,0.350577591,0,0,0,cluster3
Iqgap2,4.588205917,4.964144098,-6.385271611,6.213071969,-3.289401526,-1.283472455,2.423476454,0,0,0,0,cluster3
Irak3,0.398012181,2.534555016,-0.987471392,1.270676784,-1.209780125,-1.105003741,0.948639101,0,0,0,0,cluster3
Ism1,4.914731902,1.33566306,-3.53534835,6.096289734,0.077828654,-2.394489376,0,2.167206925,0,0,0,cluster1
Izumo4,2.698557796,3.635193657,-0.366663743,2.254250284,-1.398079733,-1.084415868,0.78830381,0,0,0,0,cluster3
Kcne4,1.678975403,-0.371128215,-6.099210734,2.942306276,-2.720007827,-4.742627351,1.566691849,2.145534855,0,0,0,cluster2
Kctd12,-0.267186455,2.738910402,-1.615717276,2.770986914,-1.357729763,-4.619288016,1.175018887,0,0,0,0,cluster3
Kctd19,3.735453772,1.590077661,-3.142736759,4.441538906,-0.797776686,-2.102308625,0,2.383927617,0,0,0,cluster1
Klhl6,3.570243126,-2.235867726,-7.441836253,1.411791572,1.758039461,-2.04218764,3.952336255,0,0,0,0,cluster1
Ldhb,2.717891599,5.855493294,-0.763788223,3.55879797,-1.168036956,-1.07017936,0.633718051,1.419004534,0,0,0,cluster3
Lgals12,9.340104216,-0.746121461,-2.387368991,7.219146487,-5.049315455,-5.849542555,1.650621769,0,0,0,0,cluster2
Lipe,2.043186785,3.863011234,-0.46845371,4.331887695,-3.904560443,-3.14783942,1.524237787,1.325545959,0,0,0,cluster3
Lmod1,0.669265571,3.387856593,-0.490788729,2.476170789,-1.551169569,-1.52351395,1.701751491,0,0,0,0,cluster3
Lpl,7.534318445,2.639650249,-7.722107438,10.80282029,-7.839440135,-9.362827032,1.280244459,0,0,0,0,cluster2
Lrg1,4.486022572,-1.68226313,-0.674339232,5.456185684,-2.549389054,-2.916656753,0,0,0,1,0,cluster3
Lrp3,2.937746004,-1.340228581,-8.552838536,3.184381066,-0.540618846,-4.399739637,1.266817237,1.620535065,0,0,0,cluster1
Lrrc36,2.729887677,-0.296506898,-1.863681855,2.82682906,-1.241960532,-1.23483271,3.055049105,0,0,0,0,cluster1
Lum,4.63821984,4.977725233,3.225296353,5.849196875,-0.249378003,-0.107453404,0,4.668524917,0,0,0,cluster3
Maf,3.977304185,5.612496004,0.460417653,4.3285577,-2.570852574,-1.854617112,7.05011332,2.727763331,1,0,0,cluster3
Map7d2,6.184563528,2.729328828,0.501371581,9.47338777,-2.313610404,-2.964232489,1.2076583,13.11160189,0,0,0,cluster3
Mc2r,8.16840216,-0.928701481,-0.347612117,6.678578105,-6.093709573,-3.724011674,1.589731435,1.993456714,0,0,0,cluster3
Mc5r,4.45588934,1.445734938,-0.665220638,5.302562493,-7.302656463,-5.710566142,0,1.291294126,0,0,0,cluster3
Mcam,-0.63936445,1.32897899,-1.410738366,1.848778033,-3.904367117,-2.731361128,3.084424578,4.767855234,0,0,0,cluster3
Mcrip2,1.933307781,2.721007695,-0.746439181,1.982948262,-1.720007827,-1.172771742,1.28324431,1.269806343,0,0,0,cluster3
Mdfi,3.821907122,1.383988902,-3.293212741,3.871223184,-1.701392153,-1.50161925,2.129721732,0.47891403,0,0,0,cluster1
Mep1a,2.623882593,1.742415603,-2.394696953,0.634183982,-0.464352952,-1.042187632,3.041225354,0,0,0,0,cluster1
Mfap5,0.577984857,3.707214422,-2.505597578,2.225023049,-2.962082614,-3.699299919,0,1.254698746,0,0,0,cluster3
Mfsd12,0.408699259,3.490371292,-0.219323709,1.853581788,-1.238178891,-1.499490859,2.06518471,0,0,0,0,cluster3
