SYMBOL,shControl,shNRF2,shMLL1,shUTX,Cluster,ROS hallmark,MLL1,H3K4,UTX,H3K27,CHE
CHML,4.561279621,0,-3.063797244,-0.107947115,cluster1,,0,0,0,0,0
EAPP,2.853295807,0,-2.617525437,-3.231044725,cluster1,,0,1,0,0,0
AVPI1,4.561279621,4.183748551,-2.42831735,0,cluster1,,0,1,0,0,0
LGALS9C,3.920223838,0.739000433,0,-1.999064318,cluster4,,0,0,0,0,0
ZNF852,2.853295807,0.605163081,-1.95383419,-4.709755439,cluster1,,0,0,0,0,0
ETS1,4.960958855,0.175536781,-1.693398472,-0.119165145,cluster1,,0,0,0,0,0
CTC1,4.561279621,3.261026801,-1.628491457,-4.709755439,cluster1,,0,0,0,0,0
METTL23,1.032954372,0.062957012,-1.451742896,1.164264635,cluster1,,0,0,0,0,0
IGFALS,1.398521803,-0.286473762,-1.286367917,-0.180614599,cluster1,,0,0,0,0,0
INIP,1.047795029,-0.363547179,-1.24208554,0.084799971,cluster1,,0,1,1,0,0
PRORP,1.06267805,0.050190371,-0.963223316,0,cluster1,,0,0,0,0,0
CEMIP,1.039857904,0.862318318,-0.923438415,0,cluster1,,0,0,0,0,0
NDUFA6,1.089175353,-0.164697661,-0.842695567,0.492476101,cluster1,ROS,0,0,0,0,1
KRTAP11-1,4.561279621,0,-0.827696131,-0.391481795,cluster1,,0,0,0,0,0
PAPOLA,4.561279621,-0.795455443,-0.794844718,0,cluster1,,0,1,0,0,0
HBM,4.960958855,-3.08549002,-0.784887453,0.091600543,cluster1,,0,1,0,0,0
CEP104,1.917172828,-0.673550388,-0.746173399,3.11187958,cluster1,,0,0,0,0,0
FUT4,1.202689328,0.77245381,-0.744772578,0.218959117,cluster1,,0,0,0,0,0
SREBF2,1.782812145,0.004717214,-0.739785079,-0.232782716,cluster1,,1,1,0,0,0
TIA1,1.931093351,1.716888519,-0.727609831,0,cluster1,,0,0,0,0,0
MACC1,1.193135659,0.338678197,0,-1.508853177,cluster4,,0,0,0,0,0
GNL3L,1.26919237,-0.136670374,-0.717287211,-0.051464274,cluster1,,0,1,0,0,0
FBXO10,1.782812145,-0.496892434,-0.717287211,-0.014786624,cluster1,,0,1,0,0,0
USP44,1.220909323,-0.131329348,-0.688036753,-0.119165145,cluster1,,0,0,1,1,0
BRD3OS,1.109973584,0.044881855,-0.688036753,-0.257687822,cluster1,,0,0,1,0,0
PPIE,2.702621899,0.32972195,0,-1.040218883,cluster4,,0,0,0,0,0
DTWD1,1.135025901,-0.646516075,-0.688036753,-0.312175361,cluster1,,0,0,0,0,0
MIS12,1.879264062,0.547700773,-0.688036753,4.02592915,cluster1,,0,0,0,0,0
LIPT1,1.315101901,0.216701677,-0.688036753,0,cluster1,,0,0,0,0,0
UBE3A,1.879264062,0.762759879,-0.688036753,0,cluster1,,0,0,0,0,0
